v	-0.76	0.2	0.661713
n	-0.842585	0.216262	0.493236
v	-0.783559	0.2	0.6
n	-0.956171	0.230959	0.179986
v	-0.76	0.2	0.589354
n	-0.96466	0.232978	0.123092
v	-0.76	0.16	0.670131
n	-0.8066	0.145953	0.572795
v	-0.791339	0.16	0.6
n	-0.973136	0.165065	0.160498
v	-0.76	0.16	0.581653
n	-0.977681	0.20195	0.0579292
v	-0.76	0.12	0.67793
n	-0.782188	0.106474	0.613877
v	-0.796323	0.12	0.6
n	-0.986042	0.128365	0.106034
v	-0.76	0.12	0.574518
n	-0.98991	0.132048	-0.0513871
v	-0.76	0.106846	0.68
n	-0.792223	0.111027	0.600046
v	-0.764885	0.08	0.68
n	-0.793227	0.0579714	0.606161
v	-0.76	0.08	0.681532
n	-0.790812	0.063458	0.608761
v	-0.799491	0.08	0.6
n	-0.991607	0.0713167	0.107839
v	-0.76	0.08	0.568761
n	-0.987339	0.0838506	-0.134649
v	-0.768964	0.04	0.68
n	-0.805335	0.0186896	0.592525
v	-0.76	0.04	0.683012
n	-0.791336	0.0444363	0.609764
v	-0.76	0.04	0.565029
n	-0.983518	0.056689	-0.171691
v	-0.770256	0	0.68
n	-0.813673	-0	0.581322
v	-0.76	0	0.683524
n	-0.786858	0	0.617134
v	-0.76	0	0.563737
n	-0.983407	0	-0.181412
v	-0.768964	-0.04	0.68
n	-0.805335	-0.0186896	0.592525
v	-0.76	-0.04	0.683012
n	-0.791336	-0.0444363	0.609764
v	-0.76	-0.04	0.565029
n	-0.983518	-0.056689	-0.171691
v	-0.764885	-0.08	0.68
n	-0.793227	-0.0579714	0.606161
v	-0.76	-0.08	0.681532
n	-0.790812	-0.063458	0.608761
v	-0.799491	-0.08	0.6
n	-0.991607	-0.0713165	0.107839
v	-0.76	-0.08	0.568761
n	-0.987339	-0.0838504	-0.134649
v	-0.76	-0.106846	0.68
n	-0.792223	-0.111027	0.600046
v	-0.76	-0.12	0.67793
n	-0.782188	-0.106474	0.613877
v	-0.796323	-0.12	0.6
n	-0.986042	-0.128365	0.106034
v	-0.76	-0.12	0.574518
n	-0.98991	-0.132048	-0.0513871
v	-0.76	-0.16	0.670131
n	-0.8066	-0.145953	0.572794
v	-0.791339	-0.16	0.6
n	-0.973136	-0.165065	0.160498
v	-0.76	-0.16	0.581653
n	-0.977681	-0.20195	0.0579293
v	-0.76	-0.2	0.661713
n	-0.842585	-0.216262	0.493236
v	-0.783559	-0.2	0.6
n	-0.956171	-0.230959	0.179986
v	-0.76	-0.2	0.589354
n	-0.96466	-0.232978	0.123092
v	-0.799895	-0.24	0.64
n	-0.901179	-0.259107	0.347477
v	-0.76	-0.24	0.653641
n	-0.845677	-0.27466	0.457594
v	-0.770429	-0.24	0.6
n	-0.950135	-0.272033	0.152453
v	-0.76	-0.24	0.596738
